[2025-03-11 15:47:10] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:10] Tentative d'arrêt détectée - Processus : powershell.exe (PID: 13984) | Utilisateur : CyberBeast
[2025-03-11 15:47:11] Tentative d'arrêt détectée - Processus : cmd.exe (PID: 14164) | Utilisateur : CyberBeast
[2025-03-11 15:47:12] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:13] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:14] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:15] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:17] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:18] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:19] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:20] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:21] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:22] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:24] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:25] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:26] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:27] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:28] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:29] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:31] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:32] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:33] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:34] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:35] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:36] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:38] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:39] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:40] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:41] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:43] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:44] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:45] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:47:46] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
